,SINR,RSRP,RSRQ,Power
126,-1.1307442,-100,-7,-100
127,-5.5435816,-103,-7,-103
128,-7.5900149,-106,-7,-106
129,-10.9518439,-109,-7,-109
130,1.5907319,-100,-7,-100
131,-6.3895954,-105,-7,-105
132,-9.3071599,-105,-6,-105
133,-6.9984953,-103,-7,-103
134,2.9270414,-97,-7,-97
135,-11.4911991,-107,-7,-107
136,-8.6891105,-102,-6,-102
137,-0.4477982,-96,-7,-96
138,-2.1868935,-97,-7,-97
139,-15.1080307,-108,-7,-108
140,-15.6979321,-106,-6,-106
141,-8.201423,-99,-7,-99
142,6.8621495,-91,-7,-91
143,-18.7558787,-109,-7,-109
144,-6.9518439,-107,-6,-107
145,-8.1284136,-108,-20,-108
146,0.5372258,-102,-20,-102
147,-6.9518439,-107,-8,-107
148,7.5681396,-90,-6,-90
149,-19.653819,-109,-7,-109
150,-8.0713743,-98,-7,-98
151,-24.6858603,-114,-7,-114
152,12.2534669,-90,-5,-90
153,-21.2184042,-111,-7,-111
154,-15.1194914,-105,-7,-105
155,-17.1685209,-107,-7,-107
156,3.8805086,-89,-7,-89
157,-22.4652165,-110,-7,-110
158,-4.047965,-93,-7,-93
159,-26.480009,-114,-7,-114
160,6.3596691,-91,-6,-91
161,-18.8471036,-109,-8,-109
162,-7.1355253,-98,-8,-98
163,-18.8471036,-109,-7,-109
164,8.3596691,-89,-6,-89
165,-20.5533725,-109,-8,-109
166,-9.0860017,-98,-8,-98
167,-20.5533725,-109,-7,-109
168,10.3596691,-87,-6,-87
169,-22.357268,-109,-8,-109
170,-11.0544613,-98,-8,-98
171,-22.357268,-109,-7,-109
172,6.8472344,-85,-7,-85
173,-24.8015316,-109,-7,-109
174,-7.0309129,-92,-7,-92
175,-25.8044873,-110,-7,-110
176,3.9618569,-80,-6,-80
177,-31.4632003,-110,-7,-110
178,-4.0152252,-84,-7,-84
179,-27.4585098,-106,-7,-106
180,4.8891659,-84,-6,-84
181,-26.2098159,-109,-8,-109
182,-5.0353556,-89,-7,-89
183,-24.203732,-107,-8,-107
184,4.8891659,-84,-6,-84
185,-26.2098159,-109,-8,-109
186,-5.0353556,-89,-7,-89
187,-24.203732,-107,-8,-107
188,3.9397015,-83,-6,-83
189,-25.460325,-107,-7,-107
190,-4.0241057,-87,-7,-87
191,-29.4677535,-111,-7,-111
192,300.0,-84,-6,-84
193,300.0,-82,-6,-82
194,300.0,-84,-6,-84
195,300.0,-74,-6,-74
196,5.9979388,-71,-5,-71
197,-44.9735036,-115,-8,-115
198,-6.0005178,-77,-7,-77
199,-41.9733661,-112,-7,-112
200,3.9951796,-75,-6,-75
201,-40.4563868,-114,-7,-114
202,-4.0019197,-79,-7,-79
203,-36.4557957,-110,-7,-110
204,300.0,-75,-6,-75
205,300.0,-73,-6,-73
206,300.0,-73,-6,-73
207,5.9934853,-74,-6,-74
208,-36.9736649,-110,-7,-110
209,-6.0016373,-80,-8,-80
210,-39.9740997,-113,-7,-113
211,1.9869341,-83,-7,-83
