,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
0,-78.9374389,36.0025354,-300.0,312.2424836989,-0.0005264,-0.0025611,40,0,0,0,0,0,1,0,0
1,-78.9374389,36.0025354,-300.0,590.5683682946,0.0024026,0.0053989,6,0,0,1,0,0,0,0,0
2,-78.9374389,36.0025354,-300.0,267.2555233819,0.0003836,0.0018839,7,0,0,0,1,0,0,0,0
3,-78.9374389,36.0025354,-300.0,348.5306484023,-0.0025354,0.0004389,20,0,0,0,0,1,0,0,0
4,-78.9374523,36.0025282,-300.0,311.2012039496,-0.0005192,-0.0025477,40,0,0,0,0,0,1,0,0
5,-78.9374523,36.0025282,-300.0,591.9250180723,0.0024098,0.0054123,6,0,0,1,0,0,0,0,0
6,-78.9374523,36.0025282,-300.0,268.1530197996,0.0003908,0.0018973,7,0,0,0,1,0,0,0,0
7,-78.9374523,36.0025282,-300.0,348.0256117043,-0.0025282,0.0004523,20,0,0,0,0,1,0,0,0
8,-78.937451,36.0025334,-300.0,311.3950219905,-0.0005244,-0.002549,40,0,0,0,0,0,1,0,0
9,-78.937451,36.0025334,-300.0,591.5679256249,0.0024046,0.005411,6,0,0,1,0,0,0,0,0
10,-78.937451,36.0025334,-300.0,267.9855357285,0.0003856,0.001896,7,0,0,0,1,0,0,0,0
11,-78.937451,36.0025334,-300.0,348.477163624,-0.0025334,0.000451,20,0,0,0,0,1,0,0,0
12,-78.9374645,36.0025382,-300.0,310.5980344376,-0.0005292,-0.0025355,40,0,0,0,0,0,1,0,0
13,-78.9374645,36.0025382,-300.0,592.3324516267,0.0023998,0.0054245,6,0,0,1,0,0,0,0,0
14,-78.9374645,36.0025382,-300.0,268.6793092605,0.0003808,0.0019095,7,0,0,0,1,0,0,0,0
15,-78.9374645,36.0025382,-300.0,349.0508871125,-0.0025382,0.0004645,20,0,0,0,0,1,0,0,0
16,-78.9374954,36.0025201,-300.0,308.1774125792,-0.0005111,-0.0025046,40,0,0,0,0,0,1,0,0
17,-78.9374954,36.0025201,-300.0,595.5368825656,0.0024179,0.0054554,6,0,0,1,0,0,0,0,0
18,-78.9374954,36.0025201,-300.0,270.7939512216,0.0003989,0.0019404,7,0,0,0,1,0,0,0,0
19,-78.9374954,36.0025201,-300.0,347.7792735017,-0.0025201,0.0004954,20,0,0,0,0,1,0,0,0
20,-78.9375477,36.002451,-300.0,305.8132284049,-0.000442,-0.0024523,40,0,0,0,0,0,1,0,0
21,-78.9375477,36.002451,-300.0,604.1230506856,0.002487,0.0055077,6,0,0,1,0,0,0,0,0
22,-78.9375477,36.002451,-300.0,277.8591008495,0.000468,0.0019927,7,0,0,0,1,0,0,0,0
23,-78.9375477,36.002451,-300.0,344.4290499952,-0.002451,0.0005477,20,0,0,0,0,1,0,0,0
24,-78.9375516,36.0024127,-300.0,302.4912565274,-0.0004037,-0.0024484,40,0,0,0,0,0,1,0,0
25,-78.9375516,36.0024127,-300.0,605.1537045309,0.0025253,0.0055116,6,0,0,1,0,0,0,0,0
26,-78.9375516,36.0024127,-300.0,276.2697158136,0.0005063,0.0019966,7,0,0,0,1,0,0,0,0
27,-78.9375516,36.0024127,-300.0,338.9780612481,-0.0024127,0.0005516,20,0,0,0,0,1,0,0,0
28,-78.9375813,36.0023724,-300.0,299.9088143294,-0.0003634,-0.0024187,40,0,0,0,0,0,1,0,0
29,-78.9375813,36.0023724,-300.0,609.4304838948,0.0025656,0.0055413,6,0,0,1,0,0,0,0,0
30,-78.9375813,36.0023724,-300.0,278.9599208561,0.0005466,0.0020263,7,0,0,0,1,0,0,0,0
31,-78.9375813,36.0023724,-300.0,335.8651972144,-0.0023724,0.0005813,20,0,0,0,0,1,0,0,0
32,-78.9376409,36.0023349,-300.0,295.4864980712,-0.0003259,-0.0023591,40,0,0,0,0,0,1,0,0
33,-78.9376829,36.0023103,-300.0,292.4479005445,-0.0003013,-0.0023171,40,0,0,0,0,0,1,0,0
34,-78.9377579,36.0022848,-300.0,287.3411884704,-0.0002758,-0.0022421,40,0,0,0,0,0,1,0,0
35,-78.937797,36.0022459,-300.0,285.0222359856,-0.0002369,-0.002203,40,0,0,0,0,0,1,0,0
36,-78.9378319,36.0022047,-300.0,282.4925412962,-0.0001957,-0.0021681,40,0,0,0,0,0,1,0,0
37,-78.9378567,36.0021644,-300.0,282.8816642489,-0.0001554,-0.0021433,40,0,0,0,0,0,1,0,0
38,-78.9378885,36.0021174,-300.0,280.6825776594,-0.0001084,-0.0021115,40,0,0,0,0,0,1,0,0
39,-78.9379204,36.0020728,-300.0,279.8284553627,-6.38e-05,-0.0020796,40,0,0,0,0,0,1,0,0
40,-78.9379551,36.0020211,-300.0,275.8650390087,-1.21e-05,-0.0020449,40,0,0,0,0,0,1,0,0
41,-78.93802,36.0019789,-300.0,273.9730701206,3.01e-05,-0.00198,40,0,0,0,0,0,1,0,0
42,-78.9380811,36.0019465,-300.0,270.4841245734,6.25e-05,-0.0019189,40,0,0,0,0,0,1,0,0
43,-78.9381168,36.0018916,-300.0,268.6631334067,0.0001174,-0.0018832,40,0,0,0,0,0,1,0,0
44,-78.9381455,36.0018075,-300.0,266.6448878805,0.0002015,-0.0018545,40,0,0,0,0,0,1,0,0
45,-78.9381814,36.0017585,-300.0,265.1419603477,0.0002505,-0.0018186,40,0,0,0,0,0,1,0,0
46,-78.9382255,36.0017125,-300.0,263.290644118,0.0002965,-0.0017745,40,0,0,0,0,0,1,0,0
47,-78.9382689,36.0016715,-300.0,261.543924231,0.0003375,-0.0017311,40,0,0,0,0,0,1,0,0
48,-78.9382687,36.001619,-300.0,263.1926641516,0.00039,-0.0017313,40,0,0,0,0,0,1,0,0
49,-78.938274,36.0015775,-300.0,263.7342389755,0.0004315,-0.001726,40,0,0,0,0,0,1,0,0
50,-78.938326,36.0015466,-300.0,261.7540843247,0.0004624,-0.001674,40,0,0,0,0,0,1,0,0
51,-78.938326,36.0015466,-300.0,711.2735425075,0.0033914,0.006286,6,0,0,1,0,0,0,0,0
52,-78.938326,36.0015466,-300.0,358.7620973358,0.0013724,0.002771,7,0,0,0,1,0,0,0,0
53,-78.938326,36.0015466,-300.0,294.6964925092,-0.0015466,0.001326,20,0,0,0,0,1,0,0,0
